service_id,date,exception_type
Weekday-10,20260507,2
Weekday-10,20260512,2
Weekday-10,20260513,2
Weekday-10,20260514,2
Weekday-10,20260519,2
Weekday-10,20260520,2
Weekday-10,20260526,2
Weekday-10,20260527,2
Weekday-10,20260528,2
Weekday-10,20260601,2
Weekday-10,20260710,2
Weekday-11,20260505,2
Weekday-11,20260506,2
Weekday-11,20260512,2
Weekday-11,20260513,2
Weekday-11,20260514,2
Weekday-11,20260519,2
Weekday-11,20260520,2
Weekday-11,20260526,2
Weekday-11,20260527,2
Weekday-11,20260528,2
Weekday-11,20260601,2
Weekday-11,20260710,2
Weekday-12,20260505,2
Weekday-12,20260506,2
Weekday-12,20260507,2
Weekday-12,20260512,2
Weekday-12,20260513,2
Weekday-12,20260514,2
Weekday-12,20260519,2
Weekday-12,20260526,2
Weekday-12,20260527,2
Weekday-12,20260528,2
Weekday-12,20260601,2
Weekday-12,20260710,2
Weekday-13,20260504,2
Weekday-13,20260511,2
Weekday-13,20260518,2
Weekday-13,20260525,2
Weekday-13,20260601,2
Weekday-13,20260710,2
Weekday-14,20260504,2
Weekday-14,20260518,2
Weekday-14,20260601,2
Weekday-14,20260710,2
Weekday-2,20260501,2
Weekday-2,20260504,2
Weekday-2,20260505,2
Weekday-2,20260506,2
Weekday-2,20260507,2
Weekday-2,20260508,2
Weekday-2,20260511,2
Weekday-2,20260512,2
Weekday-2,20260513,2
Weekday-2,20260514,2
Weekday-2,20260515,2
Weekday-2,20260518,2
Weekday-2,20260519,2
Weekday-2,20260520,2
Weekday-2,20260521,2
Weekday-2,20260522,2
Weekday-2,20260525,2
Weekday-2,20260526,2
Weekday-2,20260527,2
Weekday-2,20260528,2
Weekday-2,20260529,2
Weekday-2,20260601,2
Weekday-2,20260710,2
Weekday-3,20260601,2
Weekday-3,20260706,2
Weekday-3,20260707,2
Weekday-3,20260708,2
Weekday-3,20260709,2
Weekday-3,20260710,2
Weekday-3,20260713,2
Weekday-3,20260714,2
Weekday-3,20260715,2
Weekday-3,20260716,2
Weekday-3,20260717,2
Weekday-4,20260521,2
Weekday-4,20260601,2
Weekday-4,20260710,2
Weekday-5,20260504,2
Weekday-5,20260511,2
Weekday-5,20260518,2
Weekday-5,20260521,2
Weekday-5,20260525,2
Weekday-5,20260601,2
Weekday-5,20260710,2
Weekday-6,20260511,2
Weekday-6,20260525,2
Weekday-6,20260601,2
Weekday-6,20260710,2
Weekday-7,20260512,2
Weekday-7,20260513,2
Weekday-7,20260518,2
Weekday-7,20260601,2
Weekday-7,20260710,2
Weekday-8,20260512,2
Weekday-8,20260513,2
Weekday-8,20260518,2
Weekday-8,20260520,2
Weekday-8,20260601,2
Weekday-8,20260710,2
Weekday-9,20260507,2
Weekday-9,20260512,2
Weekday-9,20260601,2
Weekday-9,20260710,2
Weekend-1,20260601,1
Weekend-1,20260710,1
Weekend-2,20260501,1
Weekend-2,20260504,1
Weekend-2,20260505,1
Weekend-2,20260506,1
Weekend-2,20260507,1
Weekend-2,20260508,1
Weekend-2,20260601,1
Weekend-2,20260710,1
Weekend-4,20260501,1
WkExFri-1,20260512,2
WkExFri-1,20260513,2
WkExFri-1,20260518,2
WkExFri-1,20260601,2
WkExFri-2,20260601,2
WkExFri-3,20260504,2
WkExFri-3,20260511,2
WkExFri-3,20260518,2
WkExFri-3,20260521,2
WkExFri-3,20260525,2
WkExFri-3,20260601,2
WkExFri-4,20260506,2
WkExFri-4,20260513,2
WkExFri-4,20260520,2
WkExFri-4,20260527,2
WkExFri-4,20260601,2
WkExFri-4,20260603,2
WkExFri-4,20260610,2
WkExFri-4,20260617,2
WkExFri-4,20260624,2
WkExFri-4,20260701,2
WkExFri-4,20260708,2
WkExFri-4,20260715,2
WkExFri-4,20260722,2
WkExFri-4,20260729,2
WkExMon-1,20260505,2
WkExMon-2,20260505,2
WkExMon-2,20260512,2
WkExMon-2,20260519,2
WkExMon-2,20260526,2
WkExMon-2,20260602,2
WkExMon-2,20260609,2
WkExMon-2,20260616,2
WkExMon-2,20260623,2
WkExMon-2,20260630,2
WkExMon-2,20260707,2
WkExMon-2,20260710,2
WkExMon-2,20260714,2
WkExMon-2,20260721,2
WkExMon-2,20260728,2
