Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,SA22023_V1_00,SA22023_V1,,,,,Usual residence - Statistical area 2,Code,Statistical area 2 (SA2) 2023 code
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,SA22023_V1_00_NAME,SA22023__1,,,,,Usual residence - Statistical area 2,Name,Statistical area 2 (SA2) 2023 name
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,SA22023_V1_00_NAME_ASCII,SA22023__2,,,,,Usual residence - Statistical area 2,ASCII name,Statistical area 2 (SA2) 2023 name no macrons
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_1,VAR_1_1,Individual,Census usually resident population count,2013,Count,Census usually resident population count,Total,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Census usually resident population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_2,VAR_1_2,Individual,Census usually resident population count,2018,Count,Census usually resident population count,Total,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Census usually resident population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_3,VAR_1_3,Individual,Census usually resident population count,2023,Count,Census usually resident population count,Total,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Census usually resident population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_4,VAR_1_4,Individual,Census night population count,2013,Count,Census night population count,Total,"Subject pop: Census night population count, Year: 2013, Measure: Count, Var1: Census night population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_5,VAR_1_5,Individual,Census night population count,2018,Count,Census night population count,Total,"Subject pop: Census night population count, Year: 2018, Measure: Count, Var1: Census night population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_6,VAR_1_6,Individual,Census night population count,2023,Count,Census night population count,Total,"Subject pop: Census night population count, Year: 2023, Measure: Count, Var1: Census night population count (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_7,VAR_1_7,Individual,Census usually resident population count,2013,Count,Age (5-year groups),0-4 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 0-4 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_8,VAR_1_8,Individual,Census usually resident population count,2013,Count,Age (5-year groups),5-9 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 5-9 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_9,VAR_1_9,Individual,Census usually resident population count,2013,Count,Age (5-year groups),10-14 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 10-14 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_10,VAR_1_10,Individual,Census usually resident population count,2013,Count,Age (5-year groups),15-19 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 15-19 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_11,VAR_1_11,Individual,Census usually resident population count,2013,Count,Age (5-year groups),20-24 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 20-24 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_12,VAR_1_12,Individual,Census usually resident population count,2013,Count,Age (5-year groups),25-29 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 25-29 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_13,VAR_1_13,Individual,Census usually resident population count,2013,Count,Age (5-year groups),30-34 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 30-34 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_14,VAR_1_14,Individual,Census usually resident population count,2013,Count,Age (5-year groups),35-39 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 35-39 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_15,VAR_1_15,Individual,Census usually resident population count,2013,Count,Age (5-year groups),40-44 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 40-44 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_16,VAR_1_16,Individual,Census usually resident population count,2013,Count,Age (5-year groups),45-49 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 45-49 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_17,VAR_1_17,Individual,Census usually resident population count,2013,Count,Age (5-year groups),50-54 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 50-54 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_18,VAR_1_18,Individual,Census usually resident population count,2013,Count,Age (5-year groups),55-59 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 55-59 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_19,VAR_1_19,Individual,Census usually resident population count,2013,Count,Age (5-year groups),60-64 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 60-64 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_20,VAR_1_20,Individual,Census usually resident population count,2013,Count,Age (5-year groups),65-69 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 65-69 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_21,VAR_1_21,Individual,Census usually resident population count,2013,Count,Age (5-year groups),70-74 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 70-74 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_22,VAR_1_22,Individual,Census usually resident population count,2013,Count,Age (5-year groups),75-79 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 75-79 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_23,VAR_1_23,Individual,Census usually resident population count,2013,Count,Age (5-year groups),80-84 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 80-84 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_24,VAR_1_24,Individual,Census usually resident population count,2013,Count,Age (5-year groups),85-89 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 85-89 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_25,VAR_1_25,Individual,Census usually resident population count,2013,Count,Age (5-year groups),90 years and over,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - 90 years and over)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_26,VAR_1_26,Individual,Census usually resident population count,2013,Count,Age (5-year groups),Total,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (5-year groups - Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_27,VAR_1_27,Individual,Census usually resident population count,2013,Median,Age,Median,"Subject pop: Census usually resident population count, Year: 2013, Measure: Median, Var1: Age (Median)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_28,VAR_1_28,Individual,Census usually resident population count,2018,Count,Age (5-year groups),0-4 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 0-4 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_29,VAR_1_29,Individual,Census usually resident population count,2018,Count,Age (5-year groups),5-9 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 5-9 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_30,VAR_1_30,Individual,Census usually resident population count,2018,Count,Age (5-year groups),10-14 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 10-14 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_31,VAR_1_31,Individual,Census usually resident population count,2018,Count,Age (5-year groups),15-19 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 15-19 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_32,VAR_1_32,Individual,Census usually resident population count,2018,Count,Age (5-year groups),20-24 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 20-24 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_33,VAR_1_33,Individual,Census usually resident population count,2018,Count,Age (5-year groups),25-29 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 25-29 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_34,VAR_1_34,Individual,Census usually resident population count,2018,Count,Age (5-year groups),30-34 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 30-34 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_35,VAR_1_35,Individual,Census usually resident population count,2018,Count,Age (5-year groups),35-39 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 35-39 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_36,VAR_1_36,Individual,Census usually resident population count,2018,Count,Age (5-year groups),40-44 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 40-44 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_37,VAR_1_37,Individual,Census usually resident population count,2018,Count,Age (5-year groups),45-49 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 45-49 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_38,VAR_1_38,Individual,Census usually resident population count,2018,Count,Age (5-year groups),50-54 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 50-54 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_39,VAR_1_39,Individual,Census usually resident population count,2018,Count,Age (5-year groups),55-59 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 55-59 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_40,VAR_1_40,Individual,Census usually resident population count,2018,Count,Age (5-year groups),60-64 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 60-64 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_41,VAR_1_41,Individual,Census usually resident population count,2018,Count,Age (5-year groups),65-69 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 65-69 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_42,VAR_1_42,Individual,Census usually resident population count,2018,Count,Age (5-year groups),70-74 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 70-74 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_43,VAR_1_43,Individual,Census usually resident population count,2018,Count,Age (5-year groups),75-79 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 75-79 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_44,VAR_1_44,Individual,Census usually resident population count,2018,Count,Age (5-year groups),80-84 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 80-84 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_45,VAR_1_45,Individual,Census usually resident population count,2018,Count,Age (5-year groups),85-89 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 85-89 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_46,VAR_1_46,Individual,Census usually resident population count,2018,Count,Age (5-year groups),90 years and over,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - 90 years and over)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_47,VAR_1_47,Individual,Census usually resident population count,2018,Count,Age (5-year groups),Total,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (5-year groups - Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_48,VAR_1_48,Individual,Census usually resident population count,2018,Median,Age,Median,"Subject pop: Census usually resident population count, Year: 2018, Measure: Median, Var1: Age (Median)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_49,VAR_1_49,Individual,Census usually resident population count,2023,Count,Age (5-year groups),0-4 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 0-4 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_50,VAR_1_50,Individual,Census usually resident population count,2023,Count,Age (5-year groups),5-9 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 5-9 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_51,VAR_1_51,Individual,Census usually resident population count,2023,Count,Age (5-year groups),10-14 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 10-14 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_52,VAR_1_52,Individual,Census usually resident population count,2023,Count,Age (5-year groups),15-19 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 15-19 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_53,VAR_1_53,Individual,Census usually resident population count,2023,Count,Age (5-year groups),20-24 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 20-24 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_54,VAR_1_54,Individual,Census usually resident population count,2023,Count,Age (5-year groups),25-29 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 25-29 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_55,VAR_1_55,Individual,Census usually resident population count,2023,Count,Age (5-year groups),30-34 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 30-34 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_56,VAR_1_56,Individual,Census usually resident population count,2023,Count,Age (5-year groups),35-39 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 35-39 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_57,VAR_1_57,Individual,Census usually resident population count,2023,Count,Age (5-year groups),40-44 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 40-44 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_58,VAR_1_58,Individual,Census usually resident population count,2023,Count,Age (5-year groups),45-49 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 45-49 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_59,VAR_1_59,Individual,Census usually resident population count,2023,Count,Age (5-year groups),50-54 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 50-54 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_60,VAR_1_60,Individual,Census usually resident population count,2023,Count,Age (5-year groups),55-59 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 55-59 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_61,VAR_1_61,Individual,Census usually resident population count,2023,Count,Age (5-year groups),60-64 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 60-64 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_62,VAR_1_62,Individual,Census usually resident population count,2023,Count,Age (5-year groups),65-69 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 65-69 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_63,VAR_1_63,Individual,Census usually resident population count,2023,Count,Age (5-year groups),70-74 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 70-74 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_64,VAR_1_64,Individual,Census usually resident population count,2023,Count,Age (5-year groups),75-79 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 75-79 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_65,VAR_1_65,Individual,Census usually resident population count,2023,Count,Age (5-year groups),80-84 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 80-84 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_66,VAR_1_66,Individual,Census usually resident population count,2023,Count,Age (5-year groups),85-89 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 85-89 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_67,VAR_1_67,Individual,Census usually resident population count,2023,Count,Age (5-year groups),90 years and over,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - 90 years and over)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_68,VAR_1_68,Individual,Census usually resident population count,2023,Count,Age (5-year groups),Total,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (5-year groups - Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_69,VAR_1_69,Individual,Census usually resident population count,2023,Median,Age,Median,"Subject pop: Census usually resident population count, Year: 2023, Measure: Median, Var1: Age (Median)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_70,VAR_1_70,Individual,Census usually resident population count,2013,Count,Age (life cycle groups),Under 15 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (life cycle groups - Under 15 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_71,VAR_1_71,Individual,Census usually resident population count,2013,Count,Age (life cycle groups),15-29 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (life cycle groups - 15-29 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_72,VAR_1_72,Individual,Census usually resident population count,2013,Count,Age (life cycle groups),30-64 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (life cycle groups - 30-64 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_73,VAR_1_73,Individual,Census usually resident population count,2013,Count,Age (life cycle groups),65 years and over,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (life cycle groups - 65 years and over)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_74,VAR_1_74,Individual,Census usually resident population count,2013,Count,Age (life cycle groups),Total,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Age (life cycle groups - Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_75,VAR_1_75,Individual,Census usually resident population count,2018,Count,Age (life cycle groups),Under 15 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (life cycle groups - Under 15 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_76,VAR_1_76,Individual,Census usually resident population count,2018,Count,Age (life cycle groups),15-29 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (life cycle groups - 15-29 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_77,VAR_1_77,Individual,Census usually resident population count,2018,Count,Age (life cycle groups),30-64 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (life cycle groups - 30-64 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_78,VAR_1_78,Individual,Census usually resident population count,2018,Count,Age (life cycle groups),65 years and over,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (life cycle groups - 65 years and over)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_79,VAR_1_79,Individual,Census usually resident population count,2018,Count,Age (life cycle groups),Total,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Age (life cycle groups - Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_80,VAR_1_80,Individual,Census usually resident population count,2023,Count,Age (life cycle groups),Under 15 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (life cycle groups - Under 15 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_81,VAR_1_81,Individual,Census usually resident population count,2023,Count,Age (life cycle groups),15-29 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (life cycle groups - 15-29 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_82,VAR_1_82,Individual,Census usually resident population count,2023,Count,Age (life cycle groups),30-64 years,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (life cycle groups - 30-64 years)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_83,VAR_1_83,Individual,Census usually resident population count,2023,Count,Age (life cycle groups),65 years and over,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (life cycle groups - 65 years and over)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_84,VAR_1_84,Individual,Census usually resident population count,2023,Count,Age (life cycle groups),Total,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Age (life cycle groups - Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_85,VAR_1_85,Individual,Census usually resident population count,2013,Count,Birthplace (NZ born/overseas born),NZ born,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Birthplace (NZ born)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_86,VAR_1_86,Individual,Census usually resident population count,2013,Count,Birthplace (NZ born/overseas born),Overseas born,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Birthplace (Overseas born)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_87,VAR_1_87,Individual,Census usually resident population count,2013,Count,Birthplace (NZ born/overseas born),Not elsewhere included,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Birthplace (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_88,VAR_1_88,Individual,Census usually resident population count,2013,Count,Birthplace (NZ born/overseas born),Total,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Birthplace (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_89,VAR_1_89,Individual,Census usually resident population count,2013,Count,Birthplace (NZ born/overseas born),Total stated,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Birthplace (Total stated)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_90,VAR_1_90,Individual,Census usually resident population count,2018,Count,Birthplace (NZ born/overseas born),NZ born,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Birthplace (NZ born)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_91,VAR_1_91,Individual,Census usually resident population count,2018,Count,Birthplace (NZ born/overseas born),Overseas born,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Birthplace (Overseas born)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_92,VAR_1_92,Individual,Census usually resident population count,2018,Count,Birthplace (NZ born/overseas born),Not elsewhere included,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Birthplace (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_93,VAR_1_93,Individual,Census usually resident population count,2018,Count,Birthplace (NZ born/overseas born),Total,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Birthplace (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_94,VAR_1_94,Individual,Census usually resident population count,2018,Count,Birthplace (NZ born/overseas born),Total stated,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Birthplace (Total stated)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_95,VAR_1_95,Individual,Census usually resident population count,2023,Count,Birthplace (NZ born/overseas born),NZ born,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Birthplace (NZ born)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_96,VAR_1_96,Individual,Census usually resident population count,2023,Count,Birthplace (NZ born/overseas born),Overseas born,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Birthplace (Overseas born)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_97,VAR_1_97,Individual,Census usually resident population count,2023,Count,Birthplace (NZ born/overseas born),Not elsewhere included,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Birthplace (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_98,VAR_1_98,Individual,Census usually resident population count,2023,Count,Birthplace (NZ born/overseas born),Total,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Birthplace (Total)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_99,VAR_1_99,Individual,Census usually resident population count,2023,Count,Birthplace (NZ born/overseas born),Total stated,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Birthplace (Total stated)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_100,VAR_1_100,Individual,Census usually resident population count,2013,Count,Birthplace (broad geographic areas),New Zealand,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Birthplace (broad geographic areas - New Zealand)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_101,VAR_1_101,Individual,Census usually resident population count,2013,Count,Birthplace (broad geographic areas),Australia,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Birthplace (broad geographic areas - Australia)"
2023 Census totals by topic for individuals by statistical area 2 (SA2) - part 1,VAR_1_102,VAR_1_102,Individual,Census usually resident population count,2013,Count,Birthplace (broad geographic areas),Pacific Islands,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Birthplace (broad geographic areas - Pacific Islands)"
